NAMA_PERUSAHAAN,JUMLAH_ASET,JUMLAH_LIABILITAS,JUMLAH_EKUITAS,PENDAPATAN,LABA_BRUTO,LABA_SEBELUM_PAJAK,LABA_SETELAH_PAJAK,ARUS_KAS_DARI_AKTIVITAS_OPERASI,ARUS_KAS_DARI_AKTIVITAS_INVESTASI,ARUS_KAS_DARI_AKTIVITAS_PENDANAAN,KAS_DAN_SETARA_KAS_PADA_AKHIR_PERIODE,LABA_PER_SAHAM,,,
CENT,7875997000000,5636088000000,2239909000000,891333000000,457582000000,-219529000000,-292507000000,699182000000,-562775000000,-159120000000,530346000000,-9.4000000000,,,
CFIN,7804658179000,2984912891000,4819745288000,996235114000,995972248571000,86937115000,74555396000,1808244297000,-1991632000,-3201131480000,529905886000,18.7100000000,,,
CINT,490656148698,131781550123,358874598575,195783981251,43846189721,-27411026934,-25733743498,-25504777766,-4102968521,9483460879,20068081314,-25.8600000000,,,
CITA,4120169269829,633280653225,3486888616604,3134553954378,1420511987594,463750229002,375990749909,421498224068,-54607285371,-398453351168,164931301482,95.0000000000,,,
CITY,958300219871,99102724442,859197495429,30154129534,17972565339,-13408314195,-13546086115,10766462112,-368039778,376068150,39893167412,-2.5100000000,,,
CLAY,610492889722,537913760420,72579129302,8216412534,-18572173183,-57904056242,-45125511987,-8378046082,37400440,8794861001,1981355894,-33.2251645664,,,
CLEO,1354566838831,367630788002,986936050829,802940960343,345768146618,174119060199,136595846202,196526000000,-61724739697,-142269471820,15422256493,11.0000000000,,,
CLPI,685450610087,196965404265,488485205822,620177526921,71973730610,32729552665,25764430644,113404064612,-5816008614,-27385307639,190761768380,84.0600000000,,,
CMNP,14726485582000,4282060182000,10444425400000,1924639792000,779464147000,602474969000,481593313000,553826735000,-553826735000,-3212112648000,913371749000,90.0000000000,,,
CMNT,3773030000000,14622406000000,4291368000000,5880953000000,1721484000000,381341000000,379027000000,300604000000,-332597000000,154330000000,532086000000,0.0000380000,,,
CMPP,5337572636540,9863928354915,-4526355718375,487427976902,-1467835985342,-1651500698666,-1651500698666,21999433585,-8078351014,-8295204398,24084385752,-154.1300000000,,,
CMRY,1568140000000,625180000000,942960000000,2704134000000,1310873000000,776336000000,605503000000,496781000000,-141783000000,-410359000000,11645000000,89.7800000000,,,
CNKO,1190487628000,2417674013000,-1227186385000,714598902000,91209961000,-76654277000,-76654277000,13955036000,144734954000,-155242829000,43807688000,-8.4500000000,,,
CNTX,550550203800,723604068225,-173053864425,330367547775,-1166871525,-58357013100,-63696327375,-27093975525,-13833280050,38660267025,3852236025,-286.5000000000,,,
COCO,290421151825,174181635465,116239516360,157531379447,26020347559,5472296424,4284016319,-24640278617,-1266515796,25879568039,61418211,7.6500000000,,,
CPIN,34728763000000,10559382000000,24169381000000,37593298000000,5965582000000,3260613000000,2675082000000,1695318000000,-2063452000000,-579269000000,1739045000000,163.0000000000,,,
CPRI,211817467488,24465427376,187352040112,3014948938,740283395,-641501151,-844506978,-1131728256,-1000000000,1596750000,120274103,0.3500000000,,,
CPRO,6666351000000,3839966000000,2826385000000,6000446000000,1147537000000,2158700000000,2118801000000,-133084000000,-84815000000,121359000000,205844000000,35.6000000000,,,
CSAP,8472138370000,6294568240000,2177570130000,9917317518000,1688592950000,190192468000,146291316000,55049903000,-357964458000,249890438000,57100967000,31.0000000000,,,
CSIS,525344423441,246511244650,278833178791,56880609872,22647597452,10793137867,10797665271,6602501558,-373577660,-5949243153,4971572605,8.2600000000,,,
CSMI,114241891280,102604118401,11637772879,45830858313,25255991073,-18490771060,-18771182951,8062398025,0,-3677070184,8385080961,-22.9800000000,,,
CSRA,1627212360692,876193507176,751018853516,653036472994,371926831588,232322692866,178737384050,280723338082,-111510331713,-36142703702,174921943940,87.0000000000,,,
CTBN,1754138234544,402293124954,1351845109590,886613274051,114667199934,-68492358924,-63559162254,-180234650085,-31062385524,-10184595327,64272881256,-78.6885000000,,,
CTRA,40053734000000,21474450000000,18579284000000,6648691000000,3298097000000,1466639000000,1268379000000,2497255000000,-554563000000,-691001000000,6530073000000,55.0000000000,,,
CTTH,685205732432,476486382392,208719350040,63356989551,13239119861,-20933784868,-20933784868,-2817226775,61089000,1056571408,2680159045,-17.0000000000,,,
DADA,691273125266,350517783232,340755342034,57889953455,21243542584,4212016627,2606325284,-133522055747,-23624342438,269187034204,134648667307,0.3700000000,,,
DART,6701242172000,4090195932000,2611046240000,217131276000,58912510000,-301301807000,-303062541000,-175176028000,-35258238000,268318019000,87950964000,-96.0000000000,,,
DAYA,640054910000,557037718000,83017192000,707276178000,266550808000,-32450904000,-37126380000,-35861637000,-11361091000,3127523000,32510594000,-15.3400000000,,,
DCII,2853198000000,1810770000000,1042428000000,606947000000,333126000000,222452000000,172338000000,301398000000,-427986000000,139241000000,91616000000,72.0000000000,,,
DEAL,206362107956,214350773077,-7988665121,65098064117,5413027024,-15375936969,-12819030229,-5795960791,-450120430,7230992273,3708321025,-11.1100000000,,,
DEWA,8211103098411,4324780621680,3886322476731,3379627681869,342636769230,27466521372,24618741636,687324289533,-227112451233,-318943690494,370453683339,1144.5600000000,,,
DFAM,278554634684,215168053516,63386581168,53937802880,25441320978,-22259469346,-19948044179,-3200451052,-1717958809,2413176823,4744925715,-6.0950000000,,,
DGIK,996581468596,348969810735,647611657861,232792122834,18662032470,2167654812,1534309883,-77000615313,118793330155,-33839593520,105521580729,0.2800000000,,,
DGNS,244715005380,44787959630,199927045750,250831441169,131797355125,85522238666,63975396666,-4447628954,-26001171950,51376526457,37465995903,51.1800000000,,,
DIGI,36036034257,21301607413,14734426844,27298727870,13111049107,-12667707514,-12507051989,6994538281,-13544007856,-601351989,3239660025,-7.7000000000,,,
DILD,16043667708432,10100064356160,5943603352272,1828009021460,755335296263,-49135150919,-108679789989,359126646263,21630582986,-93993226303,1711554286582,-7.0000000000,,,
DIVA,2344431486868,209539544055,2134891942813,3613658041247,70586566371,1255072891255,1252608862914,6993460336,64549391823,-64795727015,140078530702,1784.7300000000,,,
DKFT,2649704023306,2060400103605,589303919701,1104582043262,-14205279244,-139786870268,-109463766904,141528116910,-4835689340,-13443464602,165228233583,-7.0700000000,,,
DLTA,1274021207000,312798082000,961223125000,482854280000,338333017000,181428832000,141488924,266054943000,-16725506000,-199705968000,746851900000,177.0000000000,,,
DMAS,6502383657333,684707537312,5817676120021,1307214469556,739666421669,645991864105,634751417745,178899413181,17522004849,-314322663030,1257664981595,13.1700000000,,,
DMMX,1040904172152,115557924804,925346247348,715852416444,43488477806,229951853697,226495108332,21547942913,-106172574867,31275075831,197109103360,3.1600000000,,,
DMND,5842979000000,976398000000,4866581000000,4933245000000,1060926000000,272064000000,210923000000,497584000000,-257770000000,-57111000000,1378698000000,22.0000000000,,,
DNAR,6752157095001,4217589618558,2534567476443,409411132751,18882111718,18882111718,11261622413,-127498282781,-224291876599,-467464349,657277656458,0.9700000000,,,
DNET,17410809396529,6773044522641,10637764873888,532634128187,532634128187,449063868755,422639320408,-67813394179,513687037894,-295454573805,327777799892,28.4800000000,,,
DOID,19916108551773,16366500905139,3549607646634,8537604289971,1159963345410,-198945673746,-230383389108,1140808275390,-1567468968288,3935827415061,5103769659915,-26.4679500000,,,
DPNS,371089542636,68684579277,302404963359,104172896597,35003089929,22916147912,17919294370,27260269835,9857712727,3212600000,122691696144,56.2300000000,,,
DPUM,1421783640243,774551494262,647232145981,102979580762,-15487818540,-56377358904,-51245622140,3131906501,764500000,348197502,5800128643,-12.2700000000,,,
DSFI,247596082193,197933494620,204930086500,392559116149,62238128061,14852331173,11554281935,8395048231,-1357716298,3376250478,18622673082,6.2100000000,,,
DSNG,13967203000000,7441941000000,6525262000000,5052627000000,1307122000000,572842000000,424246000000,548976000000,-542619000000,-333496000000,277393000000,39.2300000000,,,
DSSA,43842298449501,17237453264859,26604845184642,20561362821666,8155825342809,2882623375782,1944575077566,3149280360708,-2701786129164,-3222656385468,5957068412037,1144.5600000000,,,
DUTI,15179147406391,4441167734168,10737979672223,1346077330274,857899315522,460752725686,459994100786,649701011677,-52879964555,65695043204,3106214582597,229.7500000000,,,
DVLA,2181433109000,679418363000,1502014746000,1571319839000,837934471000,345569149000,268063948000,278151877000,-66074019000,-56149369000,421535591000,239.0000000000,,,
DWGL,1042048968000,1047714262000,-5665294000,1622203782000,153541417000,47901853000,48123527000,25742004000,-144122586000,60144714000,82149747000,5.5400000000,,,
DYAN,900506257352,416592899617,483913357735,226977575742,68225615516,-86184128470,-86130695965,-52723222701,7496983631,-5566711325,42851705445,-17.0000000000,,,
EAST,255891250820,10534032497,245357218323,30368810388,20451915795,5912299368,4848150426,6154738835,3617787545,-9015981538,2455245825,1.1700000000,,,
ECII,1725540867913,480986650709,1244554217204,1274602008118,217491877141,-8259235717,-8259235717,-2890626975,-47030648530,-40621752876,306693006038,-7.0000000000,,,
EDGE,1295111791126,300201013913,994910777213,450893770790,139590407687,112473176445,87005415718,71097293193,-475867248109,595015793755,295974656071,240.0000000000,,,
EKAD,1152434413074,148618818519,1003815594555,448458520190,167159677758,102364099725,84682020346,21966956121,-3886866971,-14422567941,352109318364,114.7031832764,,,
ELSA,7065526000000,3352013000000,3713513000000,5719735000000,419930000000,118854000000,37557000000,388947000000,-248102000000,-612954000000,762635000000,5.1500000000,,,
ELTY,11860246000000,3602395000000,8257851000000,557909000000,158893000000,-157749000000,-162296000000,26893000000,-3072000000,-11133000000,59384000000,-3.7300000000,,,
EMDE,2508619929648,2008193456908,500426472740,119178767508,42805977209,-43331573206,-47935046099,-1624297015,-455320316,5792258726,53891118509,-14.2600000000,,,
EMTK,27206380494,2934601376,24271779118,9597626851,2931869689,857766852,549960817,1194525619,-7403590330,9384146095,5885275647,3.7200000000,,,
ENRG,15287983505067,9170821851852,6117161653215,4228940704089,1722840813624,1282808870061,257070465120,1451647222068,-1599428932071,165947708499,368694780759,22.4619900000,,,
ENZO,263140677746,110082398367,153058279379,802734869614,57729154549,7129656345,5358909333,18738373564,-3938280429,13673099,15183217261,2.4800000000,,,
EPAC,363581116862,182185430943,181395685919,112346251490,26470865196,1856607908,818250792,7362235990,-8769967982,458406664,8830693745,2.8400000000,,,
EPMT,9776981028965,3106550304188,6670430724777,18816652493388,2128270262849,863134135029,670055657860,158809290010,-38421304875,-503142395641,1237136609778,249.0000000000,,,
ERAA,11129172907000,4945886000000,6183286907000,31180635330000,3022045950000,1047014737000,799292894000,-211854685000,-780622502000,463631882000,146887422000,45.0000000000,,,
ERTX,1064691430026,784186842870,280504587156,983758404945,68686605063,19563062739,19507580193,-55212730287,-23107350156,76589906319,47228909235,15.7377000000,,,
ESIP,84798475012,31051520060,53746954952,38288723720,5490803016,1008043960,1008043960,-204001609,-4643710595,4485844066,1096774890,1.5800000000,,,
ESSA,11612477849490,7450145372574,4162332476916,3441034284438,1362677425728,118910627520,110532405399,1174535368278,-20980214010,-886470576033,1322618383701,8.0119200000,,,
ESTA,81935794769,23131425697,58804369072,7153544526,4413086629,162213533,162213533,3099324254,-11756969494,6591275899,23181287034,0.2700000000,,,
ESTI,746874830685,547281221523,199593609162,310753562502,37581670521,11880647256,14145216444,58334660757,-1594515150,-56347232466,1223692017,7.0104300000,,,
ETWA,1025816524933,1349006190466,-323189665533,521794629,-21650590193,-45059257250,-55183752056,-7123019662,0,7153586739,325121467,-56.9100000000,,,
EXCL,68585018000000,48763308000000,19821710000000,19800193000000,1256093000000,1256093000000,1016399000000,10331358000000,-5374983000000,-4252760000000,3669609000000,95.0000000000,,,
FAPA,7887730764988,4984664958538,2903065806450,2183497153195,558860297645,207794663515,152057724439,438598033149,-172147018681,-191002396493,-126048121619,39.1000000000,,,
FAST,3546405624000,2497368634000,1049036990000,3456945492000,2095078357000,-256146891000,-201382664000,-289867694000,-34509034000,-27629548000,531364445000,-51.0000000000,,,
FASW,13171356,8245570,4925786,8658607,1250115,654508,507249,61652,355724,428789,113718,204.7100000000,,,
FIFA,31431147000000,22657867000000,8773280000000,6585003000000,2084618000000,2084618000000,1618963000000,2226148000000,-142179000000,-3467424000000,339873000000,5782.0000000000,,,
FILM,1295513147143,47767872582,1247745274561,183006399669,93144250462,22487662464,19219121291,39706144736,18364489711,-102307262600,77171739879,2.3400000000,,,
FIRE,545847215267,174315508478,371531706789,702194722448,198294455014,23570732431,18660479873,-40108755947,-717081018,-17667772236,5242693792,12.6900000000,,,
FISH,5990425697589,3923896793454,2066528904135,12642103795392,672188299032,386486779968,297603397908,-1302183480996,-71442262026,1086607650897,616106075127,615.2010000000,,,
FITT,59099248489,35158031507,23941216982,5386666288,1413564776,-5300138435,-5250333274,-2966933868,-88519500,3323818754,1950171577,-8.7500000000,,,
FMII,871775000000,236792000000,634983000000,40216000000,29072000000,10903000000,9801000000,9954000000,2367000000,-9949000000,4389000000,3.6000000000,,,
FOOD,108463152533,62540387055,45922765478,68221691517,21798591869,-10029359048,-10085107482,-879084716,-377718082,2053509537,2857104476,-13.5500000000,,,
FORU,44933085901,7023941762,37909144139,34523907637,18195305163,-1150762111,-1080970412,1184094401,-144962587,0,31878931379,-2.3200000000,,,
FPNI,2427368541000,930870648000,1496497893000,4291499106000,276311091000,169552257000,135015159000,432500610000,-25065864000,329061000,476766468000,24.3219000000,,,
FREN,41730170818684,29110813563610,12619357255074,7641997400301,7641997400301,-592721013807,-441720701388,2556813049765,-2091067127025,-243508561794,878659490146,-1.2100000000,,,
FUJI,149998900236,1382679681,148616220555,11904320006,9177325034,9177325034,8432899154,-24987106654,0,-459098330,38616366827,6.4900000000,,,
GAMA,1389418706324,306127489545,1083291216779,18444282510,8428883317,-4984393696,-5088508437,-38580379993,475250194,0,5062275150,-0.0050000000,,,
GDST,1630972243308,802919609274,828052634034,1119997504632,84742262663,-23858727972,-20736454224,-21261877378,-20016486870,44538575842,4311383158,-2.4400000000,,,
GDYR,1709337537963,1024168912734,685168625229,1622556226185,180430384152,56706109254,40236134073,330954416994,-64945853922,-238673480109,245522942052,100.1490000000,,,
GEMA,1035693056444,659498384257,376194672187,783513128171,193489724514,24768551700,8056655864,-94828141918,-16846319257,102038331865,63419442821,4.9000000000,,,
GEMS,10284297390627,5496298529202,4787998861425,15131744855829,6945336326154,3775527223128,2859447952920,2901487970781,-117962059113,-4271952367548,1413293588748,477.9839605923,,,
GGRM,83251441000000,25531094000000,57720347000000,92070856000000,10399178000000,5279408000000,4134576000000,13120850000000,-3350341000000,-10467629000000,4068996000000,2149.0000000000,,,
GGRP,15252637346217,4792373770341,10460263575876,7188407763756,1016054340009,716243343387,575207712945,921922005789,-118301063478,-501403079079,642624085320,47.2131000000,,,
GHON,961574735000,252880443000,708694292000,122406650000,98258297000,69495652000,64817098000,93051099000,-114113746000,13882945000,7677647000,120.0000000000,,,
GIAA,134794179301545,186377686291083,-51583506989538,13434687030273,-12007883627565,-25345146611979,-23844160384167,814156846023,-3403676618616,353147506929,571063046580,-918.7443057364,,,
GJTL,19274547000000,12268724000000,7005823000000,11199340000000,1656524000000,67868000000,15523000000,-715324000000,-239791000000,673125000000,816029000000,5.5500000000,,,
GLOB,13170538481,806774888354,-793604349873,31560498000,3408069525,1958517872,1958517872,-2075718896,0,-2050000000,2924691887,1.7600000000,,,
GLVA,509632000000,296579000000,213053000000,1118137000000,133668000000,30992000000,23203000000,619003000000,-31546000000,-597921000000,53102000000,15.4700000000,,,
GMFI,7033080808007,10616765440641,-3583684632634,2365989845504,-627440676459,-627440676459,-557211727709,29073976064,-18985974550,-17595576398,106055018035,-19.7344892288,,,
GMTD,1097985338463,525163409017,572821929446,109755142844,60556024556,-9561846851,-12116877544,62069991780,-7505430944,-30383841667,42712576102,-119.3300000000,,,
GOLD,355036706000,33147999000,321888707000,32971431000,21057689000,13175629000,12238897000,31862791000,-18097103000,0,108840064000,9.5800000000,,,
GOOD,6518042755498,3639962790578,2878079964920,6368949328104,1797851802222,470055309939,370477505608,546799294423,-268695732752,-329691648625,807750747220,8.5600000000,,,
GPRA,1772309343689,668430155883,1103879187806,282898224744,161345728166,50631369129,50631369129,69428880344,-691856647,-55370378958,51296140353,10.4200000000,,,
GPSO,64396007495,15141499067,49254508428,8338636320,5015174903,-5515109967,5515109967,-3545820755,-21306503125,23717542070,1139109208,-9.0584043754,,,
GSMF,4492273000000,3042248000000,1450025000000,781958000000,781958000000,5430000000,-12584000000,84346000000,2680000000,-90529000000,191234000000,-1.9600000000,,,
GTSI,1825342728537,861753531000,963589197537,262880065689,30729948072,-19725432882,-22157923329,-96676490802,-103497124140,219444228294,242556285453,-2.8614000000,,,
GWSA,7583804669334,564424670449,7019379998885,38974255083,20397138264,-47774775346,47572326066,-121456641608,29022988821,-1496993187,143081835504,6.2753659846,,,
GZCO,1921267000000,934687000000,986580000000,459591000000,-21523000000,-69696000000,-38101000000,56554000000,-5553000000,98053000000,99884000000,-6.0000000000,,,
HADE,15307199990,1840675276,13466524714,2873310600,497874266,-314862468,-314862468,9654453,-153796077,-8361818,1029694751,-0.1300000000,,,
HAIS,539848537272,113244187693,426604349579,296479718586,59587029522,32824706587,28924325453,35205595704,-20465007234,137258957647,184793842584,28872.0000000000,,,
HDFA,998669236000,467514855000,531154381000,105414803000,31657895000,31657895000,24648994000,-438022576000,2011218000,214889244000,44466614000,4.0400000000,,,
HDIT,399323287864,45948247759,353375040105,1794341836108,6562767346,-7371625152,-7456777090,2812026515,35752574434,-37850512646,891611948,-5.8800000000,,,
HDTX,361662521000,372226999000,-10564478000,8959471000,-29800601000,-32804368000,-31550116000,-10963102000,3384511000,7362087000,592945000,-9.0000000000,,,
HEAL,7491070000000,3322170000000,4168900000000,4627032000000,2422290000000,1330535000000,1004400000000,349042000000,-692299000000,-166140000000,355180000000,51.3400000000,,,
HELI,302472673949,162063210058,140409463891,52435792089,19450711537,2734184867,2734184867,40007292814,-16525245710,-21265958977,5539738070,3.3000000000,,,
HERO,4526918000000,3436926000000,1089992000000,4447784000000,1216164000000,-759488000000,-747431000000,-898325000000,169316000000,732081000000,79273000000,179.0000000000,,,
HEXA,273257173,130509415,142747758,308871165,81664692,49881506,38906629,49293807,-797706,-67556075,17181279,0.0500000000,,,
HITS,3203413849610,2123032450866,1080381398744,895861673188,178359985471,16964193739,3906901063,202258629580,-44649002054,-170223016604,298602821806,-1.5737711000,,,
HKMU,911266379496,459839459460,451426920036,323159944496,43393712388,-14288307415,-12539227852,7038440924,-1124567345,-10846820820,5007745773,-3.7600000000,,,
HMSP,48852802000000,21453760000000,27399042000000,72519260000000,12735078000000,7108526000000,5554491000000,12632399000000,391186000000,-8272267000000,20555627000000,48.0000000000,,,
HOKI,986908380561,323012945759,663895434802,630028759856,89336689019,15889946256,11417880306,-1905413299,-65794578081,66643812596,3730938123,1.1925002475,,,
HOMI,255043199491,135901557731,119141641760,37988892073,17537752806,6057716112,4700880315,15530694505,-1089704399,-14266944568,11282819788,5.9700000000,,,
HOTL,1315627040865,1014272692387,301354348478,36466355787,5640650692,-27023979616,-27023979616,-5813529385,-4134328175,3616474133,2797136820,-7.7400000000,,,
HRME,929897460278,266490059166,663407401112,41924167060,23117475815,-27440831929,-21429045211,4771235675,-2090590210,5255041256,15789969318,-3.5962320000,,,
HRTA,3324434051422,1851568426552,1472865624870,3905523612097,382847239419,191465545364,153074927735,-243988241610,-24323678263,308787779034,90879444045,33.2000000000,,,
HRUM,9911973038424,9911973038424,7569455737674,2940762974901,1456508683440,970419173346,744159719760,988612126230,-3447733122285,1661198689221,2222724560838,206.0208000000,,,
IATA,729829136892,559762653285,170066483607,103474047738,20609033300,-46625858854,-66841020168,-19175342135,-6823656884,26295869477,4107642720,-5.7228040000,,,
IBFN,784301098326,1182987433609,-398686335283,10165211491,-87488493290,-87488493290,-76378244112,21620649237,2482727273,-14647907248,17562012260,-50.3400000000,,,
IBST,9194949256686,2911063387536,6283885869150,740356675430,366693012740,65189654711,62616332754,320814692517,1819315446785,-1418814693483,1088702926256,46.0000000000,,,
ICBP,107306713000000,54459659000000,52847054000000,42622053000000,15531913000000,7693167000000,6081778000000,5549363000000,-2423436000000,-3500073000000,9222193000000,426.0000000000,,,
ICON,392444773035,139033871651,253410901384,113355690168,11263445943,11263445943,8677217135,8745157426,-136786761,-2376759172,14366668002,3.8300000000,,,
IDPR,1509221610630,859295831384,649925779246,616067151002,1097910796,-115535458632,115535458632,9177034166,-15170740176,-18733254818,6639681596,-55.0000000000,,,
IFII,1125105381890,67831269381,1057274112509,506139282961,149805018049,74198497008,57755818414,136063287758,-119093821627,7822802433,58844288644,6.1400000000,,,
IFSH,1079595707648,500920255210,578675452438,672065560577,311445970682,55975295398,35690557958,100104372271,-42516192907,-37609334582,46265018198,21.0000000000,,,
IGAR,780585099472,117575195093,663009904379,699143942550,128584998185,97810266137,76065777363,-185023240,-2288098110,-7801018679,230976825404,55.3400000000,,,
IIFF,14705382000000,12544585000000,2160797000000,695122000000,45820000000,45820000000,32429000000,-18547000000,559128000000,31800000000,2553068000000,16.0000000000,,,
IIKP,335826078185,25368510151,310457568034,14067155404,-3805138278,-9175380367,-7438115623,999618932,-41400000,0,2474822771,-2.2100000000,,,
IKAI,1251266823000,461863484000,789403339000,128319009000,55852881000,-51321083000,-51318910000,14926854000,-8232385000,-11645798000,2529776000,-3.6700000000,,,
IKAN,126970468378,57822787625,69147680753,67242331446,9589330137,71136949,13987848,5871870141,-597162880,-2685452423,-12361642598,0.0200000000,,,
IKBI,1601391220417,646092571933,955298648484,2503088042214,82580667442,389643583,88139613,-152186590260,-86226939164,241146100000,104447053802,0.0713450000,,,
IMAS,49974498914264,37169030885220,12805468029044,14054799924092,1075948012458,46749640446,-93428337360,1951730880426,-526831047746,-783534537461,3551366308405,-29.3300000000,,,
IMJS,24192093350851,20384965721452,3807127629399,2948720761727,995132690241,-3325407698,-21129450089,-193635359128,-604072505806,625923979028,1292813526048,2.1700000000,,,
IMPC,2771342157602,1158019798713,1613322358889,1583666873379,586479376467,216101039964,155425707867,130191261922,-97177391261,-125802919260,142682685890,32.6900000000,,,
INAF,2338273001273,1905112100240,433160901033,1497851189043,496787460734,18931457853,2834424514,1878543354,-37365605438,227664364365,350547507651,0.9100000000,,,
INAI,1372810419642,1072236291962,300574127680,1012320944335,106827129438,-3846990006,-18800715858,83600230,-7517432181,-50166812323,43413687290,-29.6700000000,,,
INCF,550309646852,403533813671,146775833181,288903751124,46171287032,5248773842,5248773842,-41862704477,0,49368330845,27480783273,3.6100000000,,,
INCI,493558242403,125139862753,368418379650,365536559874,42622062633,2661610409,2299641388,-5840246326,-1003387933,-7006025299,88187268979,12.0000000000,,,
INCO,34392722013000,4182301539000,30210420474000,9824915529000,2428128885000,2273119095000,1759597281000,3080558364000,-1430298090000,-489046584000,6721227357000,177.4812000000,,,
INDF,172127169000000,89166490000000,82960679000000,72808320000000,24058208000000,10553063000000,8001384000000,8632038000000,-6602147000000,-1631446000000,17801972000000,616.0000000000,,,
INDO,976042353711,1652187682,974390166029,6700179258,6700179258,7270542888,7270542888,8894894469,-87957954301,640563000,388777544640,1.6900000000,,,
INDR,12122584391721,5906802155316,6215782236405,9137587492044,1246304502333,779870463891,779870463891,1510869532026,-531171253383,-880382961840,626348442120,1589.5077000000,,,
INDS,3009989978015,359356673539,2650633304476,1889207927222,391968936000,194787878767,144199217065,-124126114412,-13849637896,-71031314279,106452951145,219.6600000000,,,
INDX,64497565878,10096176591,54401389287,3676126705,1488770108,-186662376,-186662376,-671623876,-1722628239,2291024104,2649411560,-0.4300000000,,,
INDY,52675834493193,40487138785023,12188695708170,30840281509950,8044107430776,3563254793487,-120098738028,4522759957725,-1774647977166,-1853615621043,10192649209431,-183.3764440460,,,
INKP,123299271495020,57200584847810,66098686647210,35865184650260,12266501312770,6829608600610,5591365499130,9677862458420,-4040871904400,-4197290444730,13924941297950,1022.0927944000,,,
INOV,898188891000,564620713000,333568178000,464642422000,100037130000,31626078000,25689624000,20454584000,-106987640000,67419354000,97050313000,14.2100000000,,,
INPC,26888216000000,23287717000000,3600499000000,1738572000000,25575000000,25575000000,25575000000,-2765161000000,0,0,6484981000000,1.6000000000,,,
INPP,8511975944379,2827682223615,5684293720764,286956116255,142915251735,-84504571303,-75812726389,84662362657,-168180117446,39082183255,391684807424,-4.3263468193,,,
INPS,451455479904,331258508121,120196971783,210378441977,41843859228,-3151955213,-3212317462,20532056836,-6104531830,-15079171307,1640132762,-6.4800000000,,,
INRU,6872553441000,4617269496000,2255283945000,1691502303000,366416577000,81750198000,53851548000,21932631000,-350535807000,331335813000,4048881000,38.2712250000,,,
INTA,2726981000000,4192463000000,-1465482000000,443783000000,59226000000,-233926000000,-217612000000,52290000000,14055000000,-55373000000,54470000000,-59.0000000000,,,
INTD,46271520645,9493613337,36777907308,41807704783,9333269005,1042812492,1067370727,4775473545,-13454167,-127478925,20571200551,2.0000000000,,,
INTP,26256521000000,26256521000000,21549654000000,10608653000000,3592252000000,1540195000000,1208258000000,1290367000000,-184048000000,-1993149000000,6817894000000,0.0003282200,,,
IPAC,31081873532,7611402812,23470470720,13531753883,11378362827,2042759653,1571033666,3656519606,-165125282,4128986072,24238563173,1.6700000000,,,
IPCC,1880709108,859176282,1021532826,347772241,135624939,28264439,16596354,210624670,-24729313,0,705551193,9.1300000000,,,
IPCM,1425609798000,297082107000,1128527691000,600087487000,204602549000,115675169000,90545404000,166879147000,-118639226000,-53630084000,570813816000,17.1600000000,,,
IPOL,4147577753658,1554619436685,2592958316973,2509244898126,549276461436,130757867931,101913453696,-62028642315,-125403845163,61880021199,276789288168,14.7705112620,,,
IPTV,11674465000000,3658180000000,8016285000000,2926505000000,721203000000,331325000000,256930000000,1130447000000,-962456000000,-148390000000,100925000000,6.1700000000,,,
IRRA,897767926699,389717875832,508050050867,1086338248099,188065184758,109211470329,84923165373,-177278207626,-212322150842,325800000000,54237032322,53.0000000000,,,
ISAT,69845540000000,51028729000000,18816811000000,23055094000000,5921970000000,5921970000000,5866109000000,8399193000000,1384966000000,-563138000000,11016161000000,1067.4100000000,,,
ISSP,6867604000000,3084735000000,3782869000000,3814710000000,817992000000,552442000000,445544000000,-26607000000,34906000000,-14055000000,54195000000,63.0600000000,,,
ITIC,505785365580,209719466448,296065899132,174482098958,53161879490,21319120703,15767923401,32017071115,-3876888329,-30465390332,886473831,16.7600000000,,,
ITMA,2556440743884,153481475733,2402959268151,2192590671,2192590671,114196728546,114196728546,992247678,-154987731,2291638032,6551175300,130.1937000000,,,
ITMG,21596702640,6747596103,14849106537,18933096915,7597689429,4709191971,3884121588,-309460410,-420754563,-420754563,7295310984,3.5767500000,,,
JAST,89813806927,41525119686,48288687241,46017447831,-10619615158,-10619615158,-8406556369,-4685116530,-888093533,4877474590,2295999608,-9.2800000000,,,
JAWA,3594825818297,3341126764478,253699053819,555440963299,53773808680,-124877363012,-112181204162,-109142872366,-62620771025,172517902007,9136990584,-29.6000000000,,,
JAYA,87228361657,17262220125,69966141532,52357688487,15831585309,4340323861,3893016241,8140727968,-10576537384,-2722901133,990663150,10.0300000000,,,
JECC,1767742842000,1082929468000,684813374000,1265574584000,6938525000,-65622778000,-50237798000,-296148153000,-1941050000,320155863000,85803310000,-332.2600000000,,,
JGLE,3279137000000,1286168000000,1992969000000,51425000000,4806000000,-54030000000,-54030000000,-10871000000,103000000,6697000000,7051000000,-2.3900000000,,,
JIHD,6661129274000,1934874980000,4726254294000,630946383000,445393884000,-128032333000,-152674784000,59900186000,-28562832000,-97054000,235376074000,-47.9900000000,,,
JKON,4142156343000,1554943175000,2587213168000,1955459188000,231307951000,-72787097000,-89530669000,118763312000,269242115000,-461416669000,484341676000,0.0000000000,,,
JKSW,170443453533,668149962972,-497706509439,1463340582,23908198,-844954685,-844954685,5800528466,-47888000,0,14573247645,-5.6300000000,,,
